Temperature	Energy	Magnetization	Specific heat	Susceptibility
1.1807807807807809	7.952608000000001	0.9967860000000001	0.08436735999999999	0.0009140400000000002
1.1866866866866868	7.977488	0.998534	0.08000256	0.0004324400000000001
1.1925925925925926	7.973856	0.998242	0.33188863999999996	0.0014583599999999997
1.1984984984984985	7.96928	0.997976	0.264192	0.0014342399999999998
1.2044044044044044	7.960719999999999	0.9975200000000001	0.640704	0.002656000000000001
1.2103103103103106	7.944272	0.996516	0.33078015999999993	0.0012894399999999998
1.2162162162162165	7.955360000000001	0.9969520000000001	0.49023999999999995	0.0023289599999999997
1.2221221221221223	7.94672	0.996506	0.10111999999999999	0.0005396399999999998
1.2280280280280282	7.936496000000001	0.995732	0.40637184	0.00224176
1.2339339339339341	7.961552	0.997558	0.38935295999999986	0.0019303599999999997
1.23983983983984	7.926016000000001	0.994816	0.35794943999999995	0.00361344
1.245745745745746	7.961983999999999	0.9975719999999999	0.6257254400000002	0.00282416
1.2516516516516518	7.91648	0.9939459999999999	0.25856	0.00128684
